cancer_group	efo_code_prefill	mondo_code_prefill	ncit_code_prefill	efo_code_auto	mondo_code_auto	ncit_code_auto	efo_OntoDesc	mondo_OntoDesc	ncit_OntoDesc	efo_desc_match	mondo_desc_match	ncit_desc_match	efo_code_match	mondo_code_match	ncit_code_match
T Acute Lymphoblastic Leukemia/Lymphoma	EFO_0000209	MONDO_0004963	NCIT_C3183	EFO_1001830	MONDO_0957428	NCIT_C8694	precursor T-cell lymphoblastic leukemia-lymphoma	B-lymphoblastic leukemia/lymphoma with t(17;19)	T Lymphoblastic Leukemia/Lymphoma	False	False	False	False	False	False
Teratoma	MONDO_0002601	MONDO_0002601	NCIT_C3403	MONDO_0002601	MONDO_0002601	NCIT_C3403	teratoma	teratoma	Teratoma	True	True	True	True	True	True
Testicular Germ Cell Tumor	EFO_1000566	MONDO_0010108	NCIT_C8591	EFO_1000566	MONDO_0010108	NCIT_C8591	Testicular Germ Cell Tumor	testicular germ cell tumor	Testicular Germ Cell Tumor	True	True	True	True	True	True
Thymoma	EFO_1000581	MONDO_0006456	NCIT_C3411	EFO_1000581	MONDO_0006456	NCIT_C3411	Thymoma	thymoma	Thymoma	True	True	True	True	True	True
Thyroid Carcinoma	EFO_0002892	MONDO_0015075	NCIT_C4815	EFO_0002892	MONDO_0015075	NCIT_C4815	thyroid carcinoma	thyroid gland carcinoma	Thyroid Gland Carcinoma	True	False	False	True	True	True
Thyroid Gland Papillary Carcinoma	EFO_0000641	MONDO_0005075	NCIT_C4035	EFO_0000641	MONDO_0005075	NCIT_C4035	papillary thyroid carcinoma	thyroid gland papillary carcinoma	Thyroid Gland Papillary Carcinoma	False	True	True	True	True	True
Thyroid gland neoplasm	NA	NA	NA	EFO_0003841	MONDO_0015074	NCIT_C3414	thyroid neoplasm	thyroid tumor	Thyroid Gland Neoplasm	False	False	True	False	False	False
Type I Pleuropulmonary Blastoma	NA	NA	NA	EFO_0009052	MONDO_0020555	NCIT_C45626	Pleuropulmonary blastoma	pleuropulmonary blastoma type 1	Type I Pleuropulmonary Blastoma	False	False	True	False	False	False
Uterine Carcinosarcoma	EFO_1000613	MONDO_0006485	NCIT_C42700	EFO_1000613	MONDO_0006485	NCIT_C42700	Uterine Carcinosarcoma	uterine carcinosarcoma	Uterine Carcinosarcoma	True	True	True	True	True	True
Uterine Corpus Endometrial Carcinoma	EFO_0007532	MONDO_0000553	NCIT_C159413	MONDO_0000553	MONDO_0000553	NCIT_C159413	uterine corpus endometrial carcinoma	uterine corpus endometrial carcinoma	CPTAC Uterine Corpus Endometrial Carcinoma Baseline Form	True	True	False	False	True	True
Uveal Melanoma	EFO_1000616	MONDO_0006486	NCIT_C7712	EFO_1000616	MONDO_0006486	NCIT_C7712	Uveal Melanoma	uveal melanoma	Uveal Melanoma	True	True	True	True	True	True
Wilms tumor	MONDO_0006058	MONDO_0006058	NCIT_C3267	MONDO_0006058	MONDO_0006058	NCIT_C3267	Wilms tumor	Wilms tumor	Wilms Tumor	True	True	True	True	True	True
